Num_Doc_Id,DESC_ESPECIALIDAD,total_vales,Cluster
1712365415,bares,6,A
1712365416,restaurant,3,A
1712365417,ofic,12,A
1712365418,bar,9,A
1712365419,juguet,1,A
1712365420,calzado,3,A
1712365421,bar,6,A
1712365422,restaurant,12,A
1712365423,ofic,15,A
1712365424,juguet,9,A
1712365425,bares,6,A
1712365426,restaurant,3,A
1712365427,ofic,12,A
1712365428,bar,9,A
1712365429,juguet,1,A
1712365430,calzado,3,A
1712365431,bar,6,A
1712365432,restaurant,12,A
1712365433,ofic,15,A
1712365434,juguet,9,A
1712365435,bares,6,A
1712365436,restaurant,3,A
1712365437,ofic,12,A
1712365438,bar,9,A
1712365439,juguet,1,A
1712365440,calzado,3,A
1712365441,bar,6,A
1712365442,restaurant,12,A
1712365425,ofic,15,A
1712365426,juguet,9,A
1712365427,bares,6,A
1712365428,restaurant,3,A
1712365429,ofic,12,A
1712365430,bar,9,A
1712365431,juguet,1,A
1712365432,calzado,3,A
1712365433,bar,6,A
1712365434,restaurant,12,A
1712365435,ofic,15,A
1712365436,juguet,9,A
1712365437,bares,9,A
1712365438,restaurant,6,A
1712365439,ofic,3,A
1712365440,bar,12,A
1712365441,juguet,9,A
1712365442,calzado,1,A
1712365425,bar,3,A
1712365426,restaurant,6,A
1712365427,ofic,12,A
1712365428,juguet,15,A
1712365429,bares,9,A
1712365430,restaurant,6,A
1712365431,ofic,3,A
1712365432,bar,12,A
1712365433,juguet,9,A
1712365434,calzado,1,A
1712365435,bar,3,A
1712365436,restaurant,6,A
1712365437,ofic,12,A
1712365438,juguet,15,A
1712365439,bares,9,A
1712365440,restaurant,9,A
1712365441,ofic,6,A
1712365442,bar,3,A
1712365425,juguet,12,A
1712365426,calzado,9,A
1712365427,bar,1,A
1712365428,restaurant,3,A
1712365429,ofic,6,A
1712365430,juguet,12,A
1712365431,bares,15,A
1712365432,restaurant,9,A
1712365433,ofic,6,A
1712365434,bar,3,A
1712365435,juguet,12,A
1712365436,calzado,9,A
1712365437,bar,1,A
1712365438,restaurant,3,A
1712365439,ofic,6,A
1712365440,juguet,12,A
1712365441,bares,15,A
1712365442,restaurant,9,A
1712365425,ofic,9,A
1712365426,bar,6,A
1712365427,juguet,3,A
1712365428,calzado,12,A
1712365429,bar,9,A
1712365430,restaurant,1,A
1712365431,ofic,3,A
1712365432,juguet,6,A
1712365433,bares,12,A
1712365434,restaurant,15,A
1712365435,ofic,9,A
1712365436,bar,6,A
1712365437,juguet,3,A
1712365438,calzado,12,A
1712365439,bar,9,A
1712365440,restaurant,1,A
1712365441,ofic,3,A
1712365442,juguet,6,A
1712365425,bares,12,A
1712365426,restaurant,15,A
1712365427,ofic,9,A
1712365428,bar,9,A
1712365429,juguet,6,A
1712365430,calzado,3,A
1712365431,bar,12,A
1712365432,restaurant,9,A
1712365433,ofic,1,A
1712365434,juguet,3,A
1712365435,bares,6,A
1712365436,restaurant,12,A
1712365437,ofic,15,A
1712365438,bar,9,A
1712365439,juguet,6,A
1712365440,calzado,3,A
1712365441,bar,12,A
1712365442,restaurant,9,A
1712365415,perfume,3,A
1712365415,calzado,3,A
1712365416,perfume,3,A
1712365417,calzado,3,A
1712365415,exterior,3,A
1712365416,exterior,6,A
1712365417,exterior,3,A
1712365436,exterior,12,A
1712365437,exterior,15,A
1712365438,exterior,9,A
1712365439,exterior,6,A
1712365440,exterior,3,A
1712365441,exterior,12,A
1712365442,exterior,9,A
1712365425,exterior,12,A
1712365426,exterior,15,A
1712365427,exterior,9,A
1712365428,exterior,9,A
